trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.84546510789144,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-12.62216140367617,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.049787068367863951}",20,0,21.747998970154278,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.0024787521766663589}",20,0,12.376215503462127,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",35,0,23.32484141708029,"{0: 33, 1: 2, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 3.0590232050182579e-07}",20,0,2.7896270611698366,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 7.5825604279119066e-10}",20,0,11.959717193933301,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 6.914400106940203e-13}",30,0,20.063292748644603,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 2.3195228302435696e-16}",20,9,4.933816885140004,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 2.8625185805493943e-20}",20,0,21.91897467076161,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.2995814250075035e-24}",20,0,30.125205962356713,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 2.17052201130364e-29}",20,0,23.277336525408543,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.3336148155022618e-34}",20,0,18.347984330801236,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 3.0144087850653754e-40}",30,0,27.895649412001504,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 2.5065674758999539e-46}",30,0,41.18102550521616,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 7.6676480737220016e-53}",25,0,16.513681732934945,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 8.6288011566209608e-60}",20,0,25.17624732326215,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 3.5722699376192187e-67}",20,0,19.02858219281536,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 5.440559879258655e-75}",20,0,28.97208629710304,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 3.0482349509718582e-83}",20,0,19.952087778357345,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,21.17283596457789,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,37.7469472822057,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,35.48178361343882,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,22.293454734890183,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,32.86867236475368,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,28.022240943043467,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,31.522913351415188,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,18.12931066415088,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,24.036434031730117,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,26.73868502778432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",25,0,20.63669697204588,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",25,0,21.820971829933807,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",20,0,-1.7749056381234536,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",30,0,31.850167866382943,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0, 'e': 0}",25,0,23.19023149403453,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",30,0,29.381582611425067,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",25,0,30.269771918695415,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0, 'e': 0}",20,0,-0.08355388697351018,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",30,0,39.04936958136102,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",25,0,18.39563261721768,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
