trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.44928152251065,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.36787944117144233}",30,0,-98.9862047509427,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.049787068367863951}",20,0,-83.35412295905873,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0024787521766663589}",35,12,-147.61594806422374,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",20,0,-77.95039829455015,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 3.0590232050182579e-07}",20,4,-150.62332082340845,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 3}",1
7,False,"{'a': 0.5, 'e': 7.5825604279119066e-10}",20,0,-43.791636324359686,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 6.914400106940203e-13}",30,0,-157.3010505238824,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 2.3195228302435696e-16}",20,0,-56.225842791228025,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 2.8625185805493943e-20}",25,0,-182.99681385537994,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.2995814250075035e-24}",25,7,-59.596891219117225,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 2.17052201130364e-29}",35,0,-192.16887536568916,"{0: 16, 1: 10, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.3336148155022618e-34}",30,0,-150.48431320843326,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 3.0144087850653754e-40}",35,0,-74.59966963736514,"{0: 26, 1: 3, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 2.5065674758999539e-46}",20,0,-122.47051317429552,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 7.6676480737220016e-53}",20,13,-58.296380489153,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 8.6288011566209608e-60}",30,0,-82.68277743167833,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 3.5722699376192187e-67}",25,0,-137.05597027672408,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 5.440559879258655e-75}",20,0,-45.640977008285724,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 3.0482349509718582e-83}",20,3,-126.11272276151989,"{0: 8, 1: 5, 2: 1, 3: 1, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",20,0,-210.10029689112787,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",20,0,-161.67022367637756,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-182.19922414221307,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",30,0,-119.58130276827575,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-63.39807821032888,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-112.9750985212018,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-89.11232324384807,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-123.18237569945988,"{0: 23, 1: 0, 2: 2, 3: 3, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-112.67956588712342,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-31.930680628406368,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",25,0,-89.33535777732821,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",20,2,-134.34760791618118,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 3}",1
13,True,"{'a': 0, 'e': 0}",30,0,-127.33792409000247,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
14,True,"{'a': 0, 'e': 0}",20,0,-101.14829042377924,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
15,True,"{'a': 0, 'e': 0}",25,0,-59.40332571231288,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",20,12,0.12714875776608348,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,0,-165.52629411768865,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
18,True,"{'a': 0, 'e': 0}",30,0,-216.2505054838537,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
19,True,"{'a': 0, 'e': 0}",20,0,-164.98205945208758,"{0: 7, 1: 3, 2: 8, 3: 0, 4: 2}",0
20,True,"{'a': 0, 'e': 0}",35,7,-164.29044461865266,"{0: 15, 1: 1, 2: 8, 3: 3, 4: 1}",1
